Skill,Group
autobahnpython,1
model_mommy,1
genshi,1
danish,9
email handling,9
administration,9
guttering,9
google earth,0
filing,9
internal stakeholders,9
computer security,0
django-shop,1
quickbooks,9
pattern,"2,3,4"
account management,9
financial models,"2,3"
higher education,9
axure,0
tomorrow,9
financial controls,9
fashion design,9
configobj,1
ipdb,1
sympy,1
pygram,1
landscaping / gardening,9
database administration,0
short stories,9
magento,0
microsoft visio,0
crm,0
hotel,9
pysec,1
fencing,9
python-qrcode,1
swift,0
angular.js,0
quickbase,0
flexx,9
microcontroller,0
quokka,0
vendor management,9
visual,9
pattern making,"2,3,4"
grease monkey,0
pickup,9
inventory,9
sops,9
xquery,0
adobe indesign,0
english,9
english grammar,9
google adwords,0
desktop support,9
cross functional,0
arabic,9
facebook-sdk,0
ikea installation,9
japanese,9
ruby on rails,0
symfony php,0
manage projects,9
cliff,0
sencha / yahooui,0
vuforia,0
client service,9
data analytics,"2,3,4"
monetdb,0
mining engineering,9
test cases,0
shell script,0
vehicle signage,9
interiors,9
cassandra-python-driver,1
annual budget,9
travel writing,9
customer-facing,9
aviation,9
zoho,0
libffm,0
architectures,0
sign design,9
audiolazy,1
case management,9
cakephp,0
open cart,9
caniusepython3,1
bitbake,0
apple compressor,0
due diligence,9
coding,0
mobile app testing,0
nginx,0
viral marketing,9
performance metrics,"2,3,4"
typescript,0
supervisor,9
web2py,1
report preparation,9
awesome-sphinxdoc,1
emacs,0
happybase,"1,2,3,4"
elearning designer,9
risk assessment,9
mmorpg,9
pyyaml,1
ino,9
google drive,9
restful,9
arduino,"1,2,3,4"
papiamento,9
wtforms,9
operational excellence,9
c# programming,0
future state assessment,9
pencilblue cms,0
vbulletin,0
t-shirts,9
romanian,9
carpentry,9
urwid,1
analyzing data,"1,2,3,4"
paypal api,0
automotive,9
elasticsearch,"2,3,4"
finance,9
neupy,"1,3"
mysqlclient,"2,3"
microbiology,9
sound design,9
mininet,0
forex-python,1
json,0
content writing,9
passlib,1
gimp,0
operations management,9
tensorrec,"1,3"
system administration,0
client services,9
scheduling,9
amazon web services,"1,2,3,4"
django-oauth-toolkit,1
catia,0
database development,0
twitter,0
bokeh,1
fda,9
ubuntu,0
matlab,"2,3,4"
myspace,0
voluptuous,9
php,0
tkinter,1
internet research,9
woocommerce,0
general office,0
purl,0
twisted,9
snownlp,4
balustrading,9
smarty php,0
coala,1
workflows,9
microsoft sql server,"2,3,4"
pinterest,9
serbian,9
django-rest-framework,1
dh-virtualenv,1
lassie,1
windows ce,0
nose,1
segmentation,3
gopro,9
telemarketing,9
python-patterns,1
dogpile.cache,0
pyocr,"1,2,3"
html2text,1
txredis,0
mortgage brokering,9
user interface design,0
doublex,1
pyston,1
cobol,0
elearning,9
binary analysis,"2,3"
cffi,1
parallels automation,"1,2,3,4"
pyzmq,1
start-up,9
xojo,0
macedonian,9
information technology,9
landing pages,9
python-goose,1
cryptography,0
flask-api,1
datasets,"1,2,3,4"
installation,9
status reports,9
knockout.js,0
technical knowledge,9
webos,0
whmcs,0
paytrace,0
deposits,0
gpgpu,"3,4"
pyspark,"1,2,3"
project management skills,9
kinect,0
virtuemart,0
servers,0
simpy,1
vtiger,0
music,9
django-wordpress,1
hardware,0
cloud,"1,2,3,4"
investigation,9
sculpturing,9
s4cmd,0
grequests,1
proofreading,9
petroleum engineering,9
prestashop,0
voice artist,9
feedparser,1
unittest,0
ptpython,1
virtualenv,1
sales operations,9
unix,0
climate sciences,9
interior design,9
sphinx,0
customer management,9
insurance,9
django-viewlet,1
apache solr,0
standardization,9
website design,0
pudb,1
django-suit,1
mingus,0
cleaning domestic,9
dds,0
employee engagement,9
physics,9
user interface / ia,0
financial performance,9
titanium,"1,2"
hospitality,9
telephone handling,9
electronic forms,9
wheel,9
trade shows,9
interpreter,9
metatrader,9
nosql,0
verilog,0
prototype,0
pdb++,1
python-lambda,1
sqlparse,0
arts / crafts,9
teaching,9
tech support,9
english spelling,9
watchdog,0
bleach,9
industrial engineering,9
e-commerce,9
end user,0
computer graphics,0
3ds max,0
dthreejs,0
jira,0
project management,9
pox,9
asset management,9
talkbox,9
bandersnatch,0
flake8,1
repairs,9
courses,9
parser,1
information security,0
docopt,0
poetry,9
elasticsearch-dsl-py,"2,3"
game design,0
microsoft xdk,0
cross-functional team,9
english (uk),9
wand,9
django-cache-machine,1
cost effective,9
shopping carts,9
retail,9
advertising,9
matrix,"2,3"
hebrew,9
django-rules,1
swot analysis,9
daily operations,9
planning and enacting cash-flows,9
django-allauth,1
kotti,1
pl/sql,"2,3"
chronyk,1
autodesk inventor,9
flask-assets,1
google plus,0
pingo,9
applescript,0
android,0
httmock,0
iis,0
editorial,9
plumbing,9
openscenegraph,0
3d animation,0
metrics,"2,3,4"
plone,0
scons,0
django-cacheops,1
python-magic,1
jsonschema,1
django-schedule,0
information management,9
cookiecutter,0
javascript,0
pygments,1
cocos2d,0
after effects,0
access database,0
materials engineering,9
web services,0
process improvement,9
make up,9
ggplot,"1,2,3,4"
curdling,9
marketing programs,9
carteblanche,9
implicit,9
risk assessments,9
saws,9
video broadcasting,9
raw materials,9
c�(programming language),0
circuit design,0
celery,0
business process re-engineering,9
mailchimp,0
config,0
flask-restless,1
r programming language,"2,3,4"
werkzeug,0
django-pipeline,1
locksmith,0
spanish,9
forecasting,"1,2,3"
beverage,9
vcr.py,1
docker,"1,2,3,4"
cement bonding agents,9
django-elastic-transcoder,1
sales management,9
order processing,9
sales,9
buildout,0
xoops,0
grappelli,9
django-bootstrap3,1
tinytag,1
dari,9
kitchen,9
pytesseract,"1,2,3"
bookkeeping,9
polyglot,0
blackberry,0
video upload,0
strategic initiatives,9
finale / sibelius,9
sketch,9
project scheduling,9
pytest,1
financial reporting,9
business strategy,9
label design,9
consulting,9
training,9
application support,9
windows,0
quads,9
xmpp,1
cisco,0
django-simple-captcha,1
windows mobile,1
latvian,9
nokia,0
engagement,9
mrjob,1
lighting,9
yiddish,9
business continuity,9
hermescache,0
faker,9
modoboa,0
python,1
instructional design,9
api,0
apple logic pro,0
you-get,1
strong analytical skills,9
grant writing,9
joomla,0
bmc remedy,0
cement,9
pyretic,1
invitation design,9
package design,9
plc / scada,0
nosql couch / mongo,0
pygraphviz,1
sdx,0
psycopg2,1
pynacl,1
french,9
windows server,0
patents,9
mkdocs,0
eyed3,1
fundraising,9
cloud management,"2,3,4"
apis,0
kpi,9
articles,9
human resources,9
javafx,0
rocket engine,0
finite element analysis,9
financial research,9
3d rendering,0
adobe livecycle designer,0
antenna services,9
python-social-auth,1
nuitka,1
virtualenvwrapper,1
xlwt / xlrd,1
tfs,"2,3,4"
obspy,"1,2,3"
erlang,0
design,9
consulting experience,9
biopython,"1,2,3"
pydub,1
statistics,"2,3"
sanitize,9
cerberus,9
mailwizz,0
magic,9
data management,"1,2,3,4"
shopping,0
regulations,0
markdown,"1,2,3,4"
facepy,1
ad planning / buying,9
timeside,9
python-oauth2,1
p,0
multiprocessing,"1,3"
pytorch,"1,3"
asterisk pbx,0
gspread,1
localshop,9
adobe dreamweaver,0
stationery design,9
asphalt,9
diesel,9
business management,9
floor coatings,9
report writing,9
geojson,"2,3"
python-mode,1
turkish,9
sticker design,9
microsoft outlook,0
networkx,"1,2"
chemical engineering,9
concept design,9
ironpython,1
technical issues,9
test plans,9
blog design,9
pet sitting,9
clojure,0
manufacturing,9
sh,0
periscope,0
cre loaded,0
property development,9
specifications,9
product owner,9
s3cmd,"2,3,4"
geopy,"1,2,3"
product marketing,9
relationship management,9
bosnian,9
talent management,9
hp alm,0
commissioning,9
etsy,0
crystal reports,9
plesk,0
portuguese,9
delorean,9
house cleaning,9
capture nx2,0
android wear sdk,0
textract,4
energy,9
broadcast engineering,9
human resource,9
cactus,9
rauth,1
ajenti,0
webmethods,0
compliance,9
django-taggit,1
ibm websphere transformation tool,0
ponyorm,1
haul,9
sarge,"2,3,4"
supervising,"2,3,4"
tibco spotfire,"2,3"
pulsar,9
recruit,9
django-tastypie,1
app designer,0
regulatory compliance,9
r (programming language),"2,3,4"
pdf,9
jinja-assets-compressor,0
jinja2,0
parallel processing,"1,2,3,4"
process,9
ibeacon,0
xero,0
altair,0
machine learning,"1,2"
pyjwt,1
pypy,1
workshops,9
nose2,0
simpleq,0
voicexml,0
lawn mowing,9
redis,0
freeswitch,0
android honeycomb,0
caffe,"3,4"
google webmaster tools,0
jieba,0
positioning,9
real-time,9
blaze,9
vertexfx,0
fileconveyor,1
video services,9
3d printing,0
fuzzywuzzy,1
java,0
poster design,9
silverlight,0
enterprise resource planning,9
mvc,0
geodjango,1
difflib,1
powershell,0
profig,0
schematics,0
scikit-video,"1,2"
industry trends,9
analytics,2
oauthlib,0
handyman,9
drones,9
pgcli,0
legal writing,9
zodb,1
software installation,9
node.js,0
link building,9
website testing,0
zendesk,0
micawber,9
pavement,9
vhdl,0
tizen sdk for wearables,0
codeigniter,0
communications,9
cooking / recipes,9
marmir,9
tableau,"2,3"
branding,9
agronomy,9
plan,9
map reduce,"2,3"
visual basic for apps,0
spelling,9
event staffing,9
article submission,9
software development,0
wireless,0
scikit-image,"2,3"
build relationships,9
parallax scrolling,0
fanstatic,9
djedi-cms,0
business analysis,9
sales goals,9
italian,9
yaml,0
product development,9
quality management,9
home design,9
geoip,0
ajax,0
co-op,0
concreting,9
email marketing,9
acquisitions,9
hungarian,9
falcon,9
ms excel,0
textblob,"1,4"
retention,9
audioread,9
as400 / iseries,0
pyro,1
format / layout,9
computer science,0
plyvel,1
valid drivers license,9
itil,0
voip,0
appliance installation,0
visual basic,0
awnings,9
shortuuid,1
market research,9
building certifiers,9
cad/cam,0
rdkit,0
filemaker,9
google sketchup,9
microsoft sharepoint,0
ordering,9
quantum,0
phone support,9
brand,9
receivables,9
iso9001,9
invoices,9
internal controls,9
casperjs,0
lean,0
network configuration,0
pdoc,1
wan/lan,0
fortran,0
garageband,9
agile development,0
vispy,"1,2,3,4"
edx,9
widgy,9
prezi,9
zappa,9
app developer,0
mimesis,9
cpython,1
ebay,9
poet,9
decking,9
routing,9
google cardboard,0
adobe air,0
troubleshooting,9
slogans,9
peachpy,1
invoicing,9
system admin,0
js,0
pexpect,0
myob,0
levenshtein,4
soap,1
yarn,0
financial analysis,9
business issues,9
valuation / appraisal,9
intranet,0
external partners,9
procurement,9
ecommerce,9
telecom,9
augmented reality,0
txzmq,0
cfa,9
gunnery,9
google app engine,0
value proposition,9
colorama,1
scrum,"1,2,3,4"
slugify,0
statistical analysis,"2,3"
business cases,9
cleaning upholstery,9
python-future,1
latex,"2,3,4"
auditing,9
inventory management,9
sewing,9
presentation,9
tornado,1
scrapy,"1,2,3,4"
xpinyin,"1,4"
laravel,0
infographics,0
lisp,0
pycco,1
benchmark,"1,2,3,4"
analysis,9
conversion rate optimisation,9
astropy,9
vprof,1
expression engine,0
django-simple-spam-blocker,1
drafting,9
traditional chinese (taiwan),9
astrophysics,9
calculus,9
recruiting,9
wikipedia,9
yagmail,0
mac os,0
information system,0
flow charts,9
threading,0
amqp,0
in-store,9
bpo,9
pest control,9
langid.py,"1,4"
business development,9
uwsgi,0
zookeeper,0
realbasic,0
carports,9
dutch,9
flask-admin,1
howdoi,1
financial markets,9
microsoft powerpoint,9
shopify,0
storage area networks,0
apistar,0
zipline,0
fabrication,9
python-user-agents,1
marrow,0
j2ee,0
splunk,0
weddings,9
continuous improvement,9
proposal,9
tekla structures,0
accounts payable,9
teststand,0
icon design,9
matplotlib,"1,2,3,4"
process development,9
pymysql,"1,2,3"
product sourcing,9
adobe captivate,9
project plan,9
billing,9
graphic design,9
data collection,"2,3,4"
pytime,1
wxpython,1
pygame,1
numba,"1,2,3"
cgi,9
product line,9
wufoo,9
circuits,0
solidworks,9
pyechonest,1
negotiation,9
audio,9
nanotechnology,9
publishing,9
pyquery,1
kaban,9
pymssql,1
vb script,0
django-socketio,1
pharmacy,9
apple motion,9
network design,0
code2flow,0
hris,9
final cut pro,9
reconciliation,9
general labor,9
marketing strategy,9
counsel,9
pipelinedb,"2,3,4"
volusion,9
decoration,9
nupic,2
classifieds posting,9
saas,"2,3"
devpi,1
seo,9
mechanicalsoup,1
microsoft access,0
debian,0
rest,0
grails,0
user experience design,0
reporting,9
media relations,9
pywin32,1
kivy,1
photoshop coding,9
editing,9
homekit,9
colander,9
ebooks,9
advertisement design,9
gmail,9
updates,9
product descriptions,9
peoplesoft,9
elpy,1
py2exe,1
scapy,1
memory_profiler,1
scientific research,9
sqlalchemy,1
six,1
cost reduction,9
sortedcontainers,1
croatian,9
when.py,1
safety,9
chordiant,0
meteorjs,0
rwd,0
dateutil,0
supply chain,9
remote sensing,9
pyenv,1
excel,0
sentry,0
ceilings,0
hive,"2,3,4"
css,0
delivery,9
drupal,0
time management,9
on-boarding,9
dotnetnuke,0
microsoft exchange,0
responses,9
finnish,9
unicode-slugify,0
test case,0
azure,"2,3,4"
stackless,1
eliot,0
flask,1
linear programming,"1,2"
imgseek,0
cash flow,9
afrikaans,9
sqlite,"2,3"
babel,0
unidecode,1
typo3,0
pmp,0
numpy,"1,2,3"
spanish (spain),9
bsd,0
greek,9
linnworks order management,9
uml design,0
pyopengl,1
puppet,0
autocad,0
public policy,9
spss statistics,"2,3"
christmas,9
airbnb,9
awesome-django,1
sumy,9
cinema 4d,0
mycli,0
orange,0
pydy,0
objective-c,0
digital design,9
splinter,0
tci/ip,0
legal research,9
valideer,"1,2"
selenium,"1,2,3,4"
html5,0
google-api-python-client,1
budgeting,9
data processing,"1,2,3"
word processing,4
bpython,1
networking,9
quality assurance,9
payments,9
jad,0
parallels desktop,0
storyboard,0
doit,9
affiliate,9
bcbio-nextgen,"1,2,3"
html,0
fapws3,1
imghdr,1
redshift,"2,3,4"
ui,0
samsung,0
veeam,0
yard work / removal,9
life coaching,9
flyscreens,9
event planning,9
sanction,9
pip-tools,1
mobile,0
flash 3d,0
improvement,9
portia,9
bamboo flooring,9
360-degree video,0
yii,0
visio,0
nutrition,9
squid cache,0
ptvs,1
cubecart,0
tattoo design,9
online writing,9
root cause,9
doitlive,1
django-remote-forms,1
huey,9
removalist,9
tax,9
human sciences,9
animation,9
albanian,9
telugu,9
biztalk,0
tablets,0
certification,9
mechanical engineering,0
ocr,"2,3"
math,"2,3"
scala,"2,3"
emea,9
clothesline,9
bjoern,1
rocket,9
covers / packaging,9
asciimatics,0
investigate,9
locust,0
pyside,1
web hosting,9
air conditioning,9
strategy,9
call control xml,9
virtual worlds,9
flex,0
pyspider,1
j2me,0
beets,0
pylibmc,1
pre-production,0
visual merchandising,9
growth hacking,9
workflow,0
healthcare,9
biotechnology,9
mlm,9
yahoo! store design,9
cclib,0
pick multivalue db,0
bitcoin,9
flooring,9
labview,0
symbian,0
demiurge,0
contracts,9
business object,9
express js,0
pybarcode,1
vowpal_porpoise,"1,2,3,4"
cooking / baking,9
phone calls,9
markupsafe,1
telephus,0
indonesian,9
zen cart,9
less/sass/scss,"2,3"
sas,"2,3"
process improvements,9
development activities,9
openpyxl,1
program development,9
researching,9
post-production,9
oracle,0
csvkit,0
expense tracking,9
frames / trusses,9
forum software,0
software development life cycle,0
construction monitoring,9
imovie,9
pylint,1
pypattyrn,1
commercial cleaning,9
dynamics,9
fn.py,"1,2,3"
mvp,9
clips,9
snapchat,9
wsgi-compatible,0
experimental,9
proposal/bid writing,9
sap,2
rtos,0
socket io,0
financial reports,9
jabber,0
german,9
pyramid,1
toga,0
py2neo,1
bccb,9
uniout,9
alipay,9
catalan,9
writing,9
slovenian,9
apple watch,9
purchasing,9
social engine,9
amazon kindle,9
on-call,9
schedules,9
pyautogui,1
sci,"1,2,3"
role change,9
consulting services,9
social media,9
inventory controls,9
aws-cli,"2,3,4"
partnerships,9
analyze data,"2,3"
windows api,0
squarespace,0
redis-py,1
disposals,9
benchmarking,"1,2,3,4"
reportlab,1
cad,0
education / tutoring,9
pdfminer,1
website,9
travel,9
wdb,0
mango db,0
tensorflow,"3,4"
equipment hire,9
pycharm,1
leads,9
press releases,9
mrq,9
jquery / prototype,0
medical writing,9
red hat,0
pr,9
linux,0
economics,9
modx,0
mining,"2,3,4"
korean,9
vendors,9
ghostwriting,9
google website optimizer,0
unit4 business world,0
saltstack,0
organizational change management,9
orator,9
awesome-sqlalchemy,"1,2"
rfp,9
google cloud storage,"2,3,4"
anaconda,"1,2"
user experience,0
urllib3,1
tally definition language,0
python-jws,1
hbase,2
adobe lightroom,0
thumbor,9
mechatronics,9
non-profit,9
digital media,0
blog install,0
windows 8,0
pyglet,1
feng shui,9
adobe creative suite,0
crossbar,9
fitness,9
wpf,9
audio production,9
experiments,9
autodesk revit,0
db2,0
international,9
pylama,1
jewellery,9
microsoft office,0
microsoft access,0
adobe illustrator,0
flask-oauthlib,1
agile,0
